cycle,first(SEIR_maths).S,first(SEIR_maths).ES,first(SEIR_maths).IS,first(SEIR_maths).RS,first(SEIR_maths).ER,first(SEIR_maths).IR,first(SEIR_maths).RR
20,33.27799790477119,1.8267786494857425,0.6702135663069703,10.955789396131712,10.632586362541769,3.3827067601361582,43.47754783861801
21,31.05757892017868,1.7560275052412238,0.6506583527241361,10.631541242815526,10.938658702543673,3.507088263140831,45.00675592338457
22,29.080041282090132,1.6792723235561198,0.6282651846805936,10.267942588437263,11.187410883529132,3.6142167348161767,46.3742773523479
23,27.338548876922157,1.598775613026603,0.6037680556552155,9.876137966515156,11.378082980985873,3.703135369755409,47.58383962481411
24,25.82194286181307,1.516596829400405,0.577877498762395,9.466656409444292,11.511622750221917,3.7734608518796358,48.642176030541755
25,24.51599320799405,1.4345205936169463,0.5512477460685841,9.048995523459135,11.590461315514029,3.8253504513135765,49.55828405565471
26,23.404555078180202,1.3540198729340758,0.5244540512854655,8.631358220238381,11.618232219025709,3.8594405920293045,50.34269489598116
27,22.470560313006228,1.2762491260318116,0.4979800708593843,8.220531050898247,11.59946579654986,3.87676594533245,51.00680962987553
28,21.696810899901752,1.2020603042757034,0.4722140668875622,7.821879995146218,11.539286574597808,3.8786684133556975,51.56233667137035
29,21.06657080026038,1.1320341097729394,0.44745204458072246,7.439433549866652,11.44313480110345,3.866704471366537,52.02084588426884
30,20.56397286638725,1.0665195890917356,0.42390572890877265,7.076022727580446,11.31652592648558,3.8425576636300405,52.393439472233155
31,20.174269082359316,1.0056764785972845,0.40171340991975457,6.733451203926556,11.164855058370033,3.807961032773979,52.690529297033365
32,19.88395667613781,0.9495162744653701,0.3809520123863296,6.412674453002089,10.993247854525697,3.764632269410772,52.921704367763994
33,19.68081193217225,0.8979394720792833,0.361649154741008,6.113972777207981,10.806455285838618,3.7142226423427234,53.09567002371062
34,19.553859835149126,0.8507676374945691,0.3437943678750197,5.837108687427166,10.608787160563198,3.658279435599798,53.220240722085656
35,19.493302628909383,0.8077698792219608,0.32734899425262315,5.581463611729206,10.404078025973002,3.5982207048498602,53.30237031400168
36,19.49042510723156,0.7686838945904767,0.3122545593621659,5.346152258776201,10.19567874708022,3.5353206345739197,53.34820642062196
37,19.53748963560331,0.7332321215340177,0.2984395988605881,5.1301152146808064,9.986467395815406,3.47070355599555,53.363158419958594
38,19.627629855713717,0.7011336961192973,0.28582504584417023,4.932191701065044,9.778873802242824,3.4053446904239064,53.3519712591994
39,19.7547488327418,0.6721129578136813,0.27432834851243854,4.751175092103014,9.574913017026601,3.3400758347318424,53.318799629341044
40,19.913425017732624,0.6459052073681731,0.26386651462848715,4.585853989372822,9.376223867874435,3.2755944398106234,53.267278912810596
41,20.098827695339814,0.6222603428786135,0.25435827922899196,4.435041558452671,9.184109671427313,3.2124747998378367,53.2005907515228
42,20.30664243267541,0.6009449032173731,0.24572557670454934,4.297595570711003,8.999578936416917,3.1511803363458895,53.121522133968035
43,20.533006305667367,0.5817429504109701,0.23789447538895597,4.1724312585876655,8.823384543384066,3.092076205655676,53.03251763325971
44,20.77445224139468,0.56445613260203,0.2307957073286291,4.058528741617392,8.656060409321835,3.0354416704372342,52.93572491268632
45,21.027861586965244,0.5489031911925093,0.22436490111125315,3.9549364482020555,8.497955051895575,2.981481852145329,52.83303391355943
46,21.290423927843058,0.5349191108488944,0.218542603233663,3.860771662570713,8.349261772576037,2.9303386215166682,52.726110304214366
47,21.559603179964284,0.5223540587578729,0.2132741542322377,3.7752190743639287,8.21004539814171,2.8821004924615847,52.61642384030659
48,21.83310903432677,0.5110722184720883,0.20850946983036708,3.697528000060963,8.080265672214807,2.836811465027912,52.5052722965489
49,22.10887291527612,0.5009505921600129,0.2042027644795696,3.627008777592376,7.959797487832221,2.7944788204911117,52.3938016018515
50,22.385027708168106,0.4918778213299994,0.20031224451807506,3.5630287028117262,7.848448211406035,2.7550799106637416,52.283022759845466
51,22.659890608209057,0.4837530585405785,0.19679979031923694,3.505007773426423,7.745972378419461,2.718568008357763,52.17382607621019
52,22.931948533982034,0.47648490986095726,0.19363064083368578,3.4524144271106274,7.6520840503183365,2.684877300098016,52.06699315048118
53,23.199845633181976,0.46999045876814816,0.19077308946427224,3.4047614010057448,7.566467116894347,2.6539271085653797,51.9632070277148
54,23.462372482963318,0.46419437584469214,0.18819819692515055,3.3616017955169863,7.488783814021135,2.625625433144127,51.86306084723025
55,23.71845665274863,0.45902811435472396,0.18587952435501123,3.32252539280726,7.4186817066066935,2.5998718941432846,51.76706527301794
56,23.96715435373855,0.4544291889721906,0.18379288826079335,3.2871552568969338,7.355799363742324,2.576560161104042,51.67565494381674
57,24.207642947451568,0.4503405331932374,0.18191613768925052,3.2551446255961767,7.2997709291365185,2.5555799390884357,51.589194140296236
58,24.439214126327755,0.4467099299709577,0.1802289532250524,3.2261740929028324,7.250229766290793,2.536818579681449,51.50798183188887
59,24.661267613715836,0.44348950963304995,0.1787126668926516,3.1999490726635336,7.20681133532012,2.5201623761252336,51.43225623608415
60,24.873305259357732,0.4406353090126405,0.1773501017169939,3.1761975292048286,7.16915543733053,2.5054975948713856,51.36219899783702
61,25.07492543064521,0.4381068858184209,0.17612542951704108,3.1546679575291123,7.136907943093229,2.492711289094081,51.297939075558446
62,25.26581762020844,0.4358669825066362,0.1750240454229819,3.1351275939658954,7.109722105489082,2.4816919334739214,51.23955640238277
63,25.445757207465306,0.433881234234925,0.17403245759152677,3.1173608374502075,7.087259539821883,2.4723299138973474,51.18708537652685
64,25.614600326169967,0.432117915836292,0.1731381906212142,3.1011678615588423,7.069190942528289,2.4645179006345446,51.140518222115425
65,25.772278802212586,0.43054772312416195,0.17232970122518507,3.086363397849882,7.055196606920849,2.458151129046587,51.09980825145243
66,25.918795136317367,0.4291435842099644,0.1715963047912602,3.0727756717640635,7.044966784243635,2.4531276078996105,51.06487305103672
67,26.054217515164975,0.4278804968733431,0.17092811154081777,3.060245473248585,7.038201929346539,2.449348271889647,51.03559760637693
68,26.178674842064925,0.4267353883669207,0.1703159710839321,3.0486253452802172,7.034612862546889,2.446717091961606,51.01183737462896
69,26.29235178480727,0.425686994360726,0.16975142425534162,3.037778874545503,7.033920872606491,2.445141154394302,50.99342130907748
70,26.395483843866668,0.4247157540359986,0.16922666120220242,3.0275800696496202,7.035857780081501,2.4445307173764212,50.98015483536641
71,26.488352448818155,0.423803718625334,0.16873448477922862,3.0179128133523063,7.040165975487591,2.4447992518749966,50.971822776036
72,26.57128009472524,0.42293447096772735,0.16826827838926756,3.0086703764572427,7.046598442662609,2.445863471961029,50.96819221725659
73,26.644625533430553,0.4220930539048382,0.1678219774874585,2.999754982103239,7.054918774315287,2.447643358373124,50.969015309589
74,26.70877903715662,0.42126590559035265,0.16739004404490992,2.9910774103170494,7.06490118394426,2.4500621779399707,50.97403199309111
75,26.764157753639118,0.42044080001896195,0.16696744334337216,2.98255663378491,7.0763305160298415,2.453046500520392,50.982972636080916
76,26.811201173196103,0.41960679130605766,0.1665496225457305,2.974119476879437,7.089002254582896,2.456526214333025,50.99556057631555
77,26.85036672871047,0.4187541604641471,0.16613249055828289,2.965700291035952,7.102722528729165,2.4604345399166525,51.01151455321534
78,26.882125549501094,0.4178743636271708,0.16571239876957855,2.957240640602467,7.117308112967142,2.4647080424693772,51.030551020011856
79,26.90695838951691,0.4169599808689157,0.16528612231687972,2.9486889942840597,7.132586419021274,2.46928664194459,51.0523863252913
80,26.925351749250087,0.41600466494579763,0.16485084159476462,2.940000418258258,7.148395475780993,2.474113620020062,51.076738754298596
81,26.93779420927975,0.4150030894664912,0.16440412378065558,2.931136267945512,7.1645838936337345,2.4791356228904364,51.10333042151999
