cycle,first(SEIR_maths).S,first(SEIR_maths).S,first(SEIR_maths).ES,first(SEIR_maths).ES,first(SEIR_maths).IS,first(SEIR_maths).IS,first(SEIR_maths).RS,first(SEIR_maths).RS,first(SEIR_maths).ER,first(SEIR_maths).ER,first(SEIR_maths).IR,first(SEIR_maths).IR,first(SEIR_maths).RR,first(SEIR_maths).RR
98,146.1223953,292.2447907,0.003456166,0.069123323,0.00438395,0.087678993,0.170160951,3.403219025,0.004207943,0.084158861,0.003428931,0.068578628,0.659261813,13.18523626
99,146.2828585,292.565717,0.00338421,0.067684199,0.004289608,0.08579217,0.166499356,3.329987122,0.004130059,0.082601185,0.00337681,0.067536208,0.650258508,13.00517017
100,146.4402765,292.8805531,0.003313749,0.066274974,0.004197354,0.083947078,0.162918737,3.258374734,0.004053647,0.081072944,0.003325437,0.066508738,0.641358326,12.82716651
101,146.5947073,293.1894146,0.003244752,0.064895033,0.004107137,0.082142749,0.159417215,3.188344304,0.003978678,0.079573558,0.003274801,0.065496021,0.632560645,12.65121289
102,146.7462077,293.4924154,0.003177188,0.06354377,0.004018912,0.080378239,0.155992961,3.119859216,0.003905123,0.078102456,0.003224893,0.064497866,0.623864829,12.47729658
103,146.8948334,293.7896667,0.00311103,0.062220592,0.003932631,0.07865263,0.152644188,3.052883767,0.003832954,0.076659082,0.003175704,0.063514082,0.615270228,12.30540456
104,147.040639,294.081278,0.003046246,0.060924919,0.003848251,0.076965022,0.149369157,2.987383141,0.003762145,0.075242892,0.003127224,0.062544479,0.606776177,12.13552353
105,147.1836783,294.3673565,0.002982809,0.059656182,0.003765727,0.075314542,0.146166169,2.923323387,0.003692668,0.073853351,0.003079444,0.061588871,0.598381996,11.96763993
106,147.3240037,294.6480074,0.002920691,0.058413824,0.003685017,0.073700336,0.14303357,2.860671393,0.003624497,0.072489937,0.003032354,0.060647074,0.590086997,11.80173995
107,147.4616669,294.9233339,0.002859865,0.057197298,0.003606079,0.072121571,0.139969743,2.799394864,0.003557607,0.071152141,0.002985945,0.059718906,0.581890477,11.63780954
108,147.5967186,295.1934372,0.002800304,0.056006071,0.003528872,0.070577436,0.136973115,2.7394623,0.003491973,0.069839462,0.002940209,0.058804185,0.573791723,11.47583447
109,147.7292083,295.4584165,0.002741981,0.054839618,0.003453357,0.069067139,0.134042149,2.680842974,0.003427571,0.06855141,0.002895137,0.057902733,0.565790013,11.31580027
110,147.8591847,295.7183694,0.002684871,0.053697427,0.003379495,0.067589908,0.131175345,2.623506908,0.003364375,0.067287507,0.002850719,0.057014375,0.557884615,11.1576923
111,147.9866956,295.9733913,0.00262895,0.052578994,0.003307249,0.066144988,0.128371243,2.56742486,0.003302364,0.066047284,0.002806947,0.056138936,0.550074788,11.00149575
112,148.111788,296.2235759,0.002574191,0.051483828,0.003236582,0.064731645,0.125628415,2.512568296,0.003241514,0.064830281,0.002763812,0.055276243,0.542359782,10.84719565
113,148.2345076,296.4690152,0.002520572,0.050411445,0.003167458,0.063349161,0.122945469,2.458909377,0.003181802,0.063636048,0.002721306,0.054426126,0.534738844,10.69477687
114,148.3548997,296.7097994,0.002468069,0.049361375,0.003099842,0.061996837,0.120321047,2.406420939,0.003123207,0.062464146,0.002679421,0.053588418,0.527211209,10.54422417
115,148.4730085,296.9460169,0.002416658,0.048333154,0.003033699,0.060673988,0.117753824,2.355076471,0.003065707,0.061314143,0.002638148,0.05276295,0.519776108,10.39552216
116,148.5888773,297.1777546,0.002366316,0.047326329,0.002968997,0.059379948,0.115242505,2.304850105,0.003009281,0.060185617,0.002597478,0.05194956,0.512432768,10.24865536
117,148.7025487,297.4050974,0.002317023,0.046340456,0.002905703,0.058114067,0.11278583,2.255716592,0.002953908,0.059078155,0.002557404,0.051148084,0.505180409,10.10360818
118,148.8140645,297.628129,0.002268755,0.0453751,0.002843785,0.056875709,0.110382565,2.207651291,0.002899568,0.05799135,0.002517918,0.050358361,0.498018246,9.960364928
119,148.9234656,297.8469313,0.002221492,0.044429836,0.002783213,0.055664255,0.108031507,2.160630147,0.00284624,0.056924808,0.002479012,0.049580233,0.490945492,9.81890985
120,149.0307922,298.0615845,0.002175212,0.043504247,0.002723955,0.0544791,0.105731484,2.114629685,0.002793907,0.055878138,0.002440677,0.048813542,0.483961356,9.679227111
121,149.1360838,298.2721675,0.002129896,0.042597924,0.002665983,0.053319654,0.103481349,2.069626984,0.002742548,0.054850961,0.002402907,0.048058134,0.477065041,9.541300817
122,149.2393788,298.4787577,0.002085523,0.041710467,0.002609267,0.052185338,0.101279983,2.02559967,0.002692145,0.053842903,0.002365693,0.047313856,0.470255751,9.40511502
123,149.3407154,298.6814308,0.002042074,0.040841485,0.00255378,0.051075592,0.099126295,1.9825259,0.00264268,0.052853598,0.002329028,0.046580554,0.463532686,9.270653727
124,149.4401307,298.8802613,0.00199953,0.039990593,0.002499493,0.049989864,0.097019217,1.940384348,0.002594135,0.05188269,0.002292904,0.045858081,0.456895046,9.13790091
125,149.5376611,299.0753222,0.001957871,0.039157417,0.002446381,0.04892762,0.09495771,1.89915419,0.002546491,0.050929827,0.002257314,0.045146288,0.450342026,9.006840511
126,149.6333425,299.266685,0.001917079,0.038341587,0.002394417,0.047888333,0.092940755,1.858815095,0.002499733,0.049994665,0.002222251,0.044445028,0.443872823,8.877456452
127,149.72721,299.45442,0.001877137,0.037542744,0.002343575,0.046871494,0.09096736,1.819347208,0.002453843,0.049076867,0.002187708,0.043754158,0.437486632,8.749732641
128,149.8192981,299.6385961,0.001838027,0.036760534,0.00229383,0.045876602,0.089036557,1.780731142,0.002408805,0.048176105,0.002153677,0.043073535,0.431182649,8.623652979
129,149.9096404,299.8192809,0.001799731,0.035994612,0.002245159,0.04490317,0.087147398,1.742947962,0.002364603,0.047292052,0.002120151,0.042403017,0.424960068,8.499201367
130,149.9982703,299.9965406,0.001762232,0.03524464,0.002197536,0.043950721,0.085298959,1.705979178,0.00232122,0.046424394,0.002087123,0.041742465,0.418818086,8.376361713
131,150.0852201,300.1704403,0.001725514,0.034510285,0.002150939,0.04301879,0.083490336,1.669806728,0.002278641,0.04557282,0.002054587,0.041091742,0.412755897,8.255117936
132,150.1705219,300.3410438,0.001689561,0.033791223,0.002105346,0.042106921,0.081720649,1.634412974,0.002236851,0.044737023,0.002022536,0.040450712,0.406772699,8.135453973
133,150.2542068,300.5084136,0.001654357,0.033087137,0.002060734,0.041214672,0.079989034,1.599780686,0.002195835,0.043916707,0.001990962,0.039819241,0.400867689,8.017353786
134,150.3363056,300.6726112,0.001619886,0.032397714,0.00201708,0.040341609,0.078294652,1.565893034,0.002155579,0.043111579,0.00195986,0.039197195,0.395040068,7.900801365
135,150.4168484,300.8336968,0.001586132,0.031722649,0.001974365,0.039487307,0.076636679,1.532733578,0.002116068,0.042321352,0.001929222,0.038584444,0.389289037,7.785780735
136,150.4958647,300.9917295,0.001553082,0.031061645,0.001932568,0.038651353,0.075014313,1.500286258,0.002077287,0.041545744,0.001899043,0.037980858,0.383613798,7.67227596
137,150.5733836,301.1467672,0.00152072,0.030414408,0.001891667,0.037833343,0.073426769,1.468535383,0.002039224,0.04078448,0.001869315,0.03738631,0.378013557,7.560271148
138,150.6494334,301.2988667,0.001489033,0.029780653,0.001851644,0.037032882,0.071873281,1.437465627,0.002001864,0.04003729,0.001840034,0.036800673,0.372487523,7.449750453
139,150.724042,301.4480839,0.001458005,0.029160098,0.001812479,0.036249584,0.070353101,1.407062011,0.001965195,0.039303908,0.001811191,0.036223822,0.367034904,7.340698085
140,150.7972367,301.5944735,0.001427624,0.02855247,0.001774154,0.035483072,0.068865495,1.377309905,0.001929204,0.038584076,0.001782782,0.035655635,0.361654915,7.233098308
141,150.8690445,301.738089,0.001397875,0.027957499,0.001736649,0.034732977,0.067409751,1.348195011,0.001893877,0.037877539,0.0017548,0.03509599,0.356346772,7.126935448
142,150.9394916,301.8789832,0.001368746,0.027374921,0.001699947,0.03399894,0.065985168,1.319703359,0.001859202,0.037184046,0.001727238,0.034544766,0.351109695,7.022193894
143,151.0086039,302.0172078,0.001340224,0.02680448,0.00166403,0.033280609,0.064591065,1.291821299,0.001825168,0.036503353,0.001700092,0.034001846,0.345942905,6.918858104
144,151.0764066,302.1528133,0.001312296,0.026245922,0.001628882,0.032577639,0.063226775,1.26453549,0.001791761,0.03583522,0.001673356,0.033467111,0.34084563,6.816912606
145,151.1429247,302.2858494,0.00128495,0.025699,0.001594485,0.031889696,0.061891645,1.237832897,0.001758971,0.035179412,0.001647022,0.032940447,0.3358171,6.716342003
146,151.2081825,302.416365,0.001258174,0.025163471,0.001560823,0.031216451,0.060585039,1.211700779,0.001726785,0.034535697,0.001621087,0.032421739,0.330856549,6.617130975
147,151.2722039,302.5444079,0.001231955,0.0246391,0.001527879,0.030557583,0.059306334,1.186126687,0.001695192,0.033903849,0.001595544,0.031910875,0.325963214,6.519264281
148,151.3350125,302.6700249,0.001206283,0.024125653,0.001495639,0.029912778,0.058054923,1.161098451,0.001664182,0.033283647,0.001570387,0.031407742,0.321136338,6.422726764
